id,day,block,trial,first_image,second_image,first_press,correct,real_prep_time
003,1,1,1,1,1,1,1,1.88746361222002
003,1,1,2,4,4,4,1,1.87436310476915
003,1,1,3,7,7,7,1,1.79017288095201
003,1,1,4,10,10,10,1,1.78828517110378
003,1,1,5,7,7,7,1,1.8261201975838
003,1,1,6,7,7,7,1,1.79421715938952
003,1,1,7,7,7,7,1,1.8051155971043
003,1,1,8,7,7,7,1,1.77307176905742
003,1,1,9,10,10,10,1,1.7888355996256
003,1,1,10,7,7,7,1,1.83144026609079
003,1,1,11,4,4,NaN,NaN,NaN
003,1,1,12,7,7,NaN,NaN,NaN
003,1,1,13,1,1,NaN,NaN,NaN
003,1,1,14,4,4,NaN,NaN,NaN
003,1,1,15,7,7,NaN,NaN,NaN
003,1,1,16,1,1,NaN,NaN,NaN
003,1,1,17,1,1,NaN,NaN,NaN
003,1,1,18,7,7,NaN,NaN,NaN
003,1,1,19,10,10,NaN,NaN,NaN
003,1,1,20,1,1,NaN,NaN,NaN
003,1,1,21,7,7,NaN,NaN,NaN
003,1,1,22,1,1,NaN,NaN,NaN
003,1,1,23,10,10,NaN,NaN,NaN
003,1,1,24,10,10,NaN,NaN,NaN
003,1,1,25,7,7,NaN,NaN,NaN
003,1,1,26,10,10,NaN,NaN,NaN
003,1,1,27,10,10,NaN,NaN,NaN
003,1,1,28,1,1,NaN,NaN,NaN
003,1,1,29,1,1,NaN,NaN,NaN
003,1,1,30,1,1,NaN,NaN,NaN
003,1,1,31,7,7,NaN,NaN,NaN
003,1,1,32,10,10,NaN,NaN,NaN
003,1,1,33,4,4,NaN,NaN,NaN
003,1,1,34,4,4,NaN,NaN,NaN
003,1,1,35,4,4,NaN,NaN,NaN
003,1,1,36,4,4,NaN,NaN,NaN
003,1,1,37,10,10,NaN,NaN,NaN
003,1,1,38,10,10,NaN,NaN,NaN
003,1,1,39,10,10,NaN,NaN,NaN
003,1,1,40,1,1,NaN,NaN,NaN
003,1,1,41,7,7,NaN,NaN,NaN
003,1,1,42,10,10,NaN,NaN,NaN
003,1,1,43,4,4,NaN,NaN,NaN
003,1,1,44,4,4,NaN,NaN,NaN
003,1,1,45,10,10,NaN,NaN,NaN
003,1,1,46,10,10,NaN,NaN,NaN
003,1,1,47,1,1,NaN,NaN,NaN
003,1,1,48,4,4,NaN,NaN,NaN
003,1,1,49,1,1,NaN,NaN,NaN
003,1,1,50,4,4,NaN,NaN,NaN
003,1,1,51,4,4,NaN,NaN,NaN
003,1,1,52,4,4,NaN,NaN,NaN
003,1,1,53,7,7,NaN,NaN,NaN
003,1,1,54,1,1,NaN,NaN,NaN
003,1,1,55,4,4,NaN,NaN,NaN
003,1,1,56,1,1,NaN,NaN,NaN
