id,day,block,trial,first_image,second_image,first_press,correct,real_prep_time
bias_0,1,3,1,2,2,2,1,1.98277412907919
bias_0,1,3,2,4,4,4,1,1.98967211019772
bias_0,1,3,3,7,7,7,1,1.92751914165274
bias_0,1,3,4,9,9,9,1,1.89474719297141
bias_0,1,3,5,2,2,2,1,1.90977586283407
bias_0,1,3,6,7,7,7,1,1.96599133372365
bias_0,1,3,7,2,2,2,1,1.99328001047252
bias_0,1,3,8,7,7,7,1,1.99015564413276
bias_0,1,3,9,4,7,4,0,0.16583714952867
bias_0,1,3,10,4,9,9,1,0.273568557022372
bias_0,1,3,11,4,4,4,1,1.9558849089226
bias_0,1,3,12,9,4,7,0,0.287804307270562
bias_0,1,3,13,9,9,9,1,1.98451059528452
bias_0,1,3,14,7,2,7,0,0.0493501551973168
bias_0,1,3,15,7,7,7,1,2.03289169121126
bias_0,1,3,16,9,2,2,1,0.452072371117538
bias_0,1,3,17,4,2,4,0,0.181998409621883
bias_0,1,3,18,9,9,9,1,1.97884461065405
bias_0,1,3,19,9,4,4,1,0.281935611288645
bias_0,1,3,20,4,9,9,1,0.366853911138605
bias_0,1,3,21,4,7,7,1,0.316104563811678
bias_0,1,3,22,7,9,9,1,0.307642464656965
bias_0,1,3,23,9,9,9,1,1.95494091515138
bias_0,1,3,24,7,7,7,1,1.94576613300887
bias_0,1,3,25,9,9,9,1,1.96858738941955
bias_0,1,3,26,9,9,9,1,1.92778371590248
bias_0,1,3,27,9,9,9,1,1.98037897012546
bias_0,1,3,28,4,4,4,1,1.95473806175869
bias_0,1,3,29,9,9,9,1,1.97502519161208
bias_0,1,3,30,7,7,7,1,2.0204397233756
bias_0,1,3,31,4,7,7,1,0.413248274388025
bias_0,1,3,32,7,7,7,1,1.98391529350192
bias_0,1,3,33,2,2,2,1,1.97100964398123
bias_0,1,3,34,4,4,4,1,2.01381539118302
bias_0,1,3,35,9,9,9,1,1.97664335637819
bias_0,1,3,36,2,2,2,1,1.97644538256282
bias_0,1,3,37,7,7,7,1,1.92915430141147
bias_0,1,3,38,9,9,9,1,1.95959494786803
bias_0,1,3,39,7,7,7,1,1.9530673581321
bias_0,1,3,40,2,2,2,1,1.92549252635217
bias_0,1,3,41,7,7,7,1,1.93567840640026
bias_0,1,3,42,7,7,7,1,1.95929362859169
bias_0,1,3,43,9,9,9,1,1.97954636080249
bias_0,1,3,44,2,7,2,0,0.171082477027085
bias_0,1,3,45,2,2,2,1,1.98062261909945
bias_0,1,3,46,7,7,7,1,1.9545838443446
bias_0,1,3,47,2,2,2,1,1.99723124122829
bias_0,1,3,48,2,2,2,1,1.96061406860827
bias_0,1,3,49,9,9,9,1,1.94753884938837
bias_0,1,3,50,7,7,7,1,1.94089558893756
bias_0,1,3,51,4,4,4,1,1.9598214863945
bias_0,1,3,52,4,4,4,1,1.99789777441765
bias_0,1,3,53,4,4,4,1,1.96885016199667
bias_0,1,3,54,9,9,9,1,1.95214280922664
bias_0,1,3,55,2,2,2,1,1.97868232277688
bias_0,1,3,56,4,4,4,1,2.19683326459199
bias_0,1,3,57,2,7,2,0,0.195426670878078
bias_0,1,3,58,7,2,2,1,0.35295344676706
bias_0,1,3,59,7,7,7,1,1.95408451091498
bias_0,1,3,60,9,7,9,0,0.195436061156215
bias_0,1,3,61,9,9,9,1,2.0097729836707
bias_0,1,3,62,2,2,2,1,1.99874298105715
bias_0,1,3,63,2,7,4,0,0.291299862496089
bias_0,1,3,64,7,4,7,0,0.168112488725455
bias_0,1,3,65,2,2,2,1,1.99437540286453
bias_0,1,3,66,2,2,2,1,1.9919516605878
bias_0,1,3,67,2,9,9,1,0.275373941971338
bias_0,1,3,68,7,4,7,0,0.198577692906838
bias_0,1,3,69,4,4,4,1,1.98938686247857
bias_0,1,3,70,4,4,4,1,2.0128424710565
bias_0,1,3,71,9,9,9,1,1.95792178709235
bias_0,1,3,72,7,7,7,1,2.0061087240465
bias_0,1,3,73,9,9,9,1,1.97324147862673
bias_0,1,3,74,2,9,9,1,0.339329161084606
bias_0,1,3,75,2,4,2,0,0.169918872212293
bias_0,1,3,76,2,2,2,1,1.99576663838525
bias_0,1,3,77,9,9,9,1,1.97746870566334
bias_0,1,3,78,2,2,2,1,1.95145001265337
bias_0,1,3,79,9,4,4,1,0.389273754291935
bias_0,1,3,80,4,4,4,1,1.96489089545503
bias_0,1,3,81,9,9,9,1,1.99842348584207
bias_0,1,3,82,7,7,7,1,2.02034626301611
bias_0,1,3,83,2,4,4,1,0.332823199758423
bias_0,1,3,84,9,9,9,1,1.93784408213105
bias_0,1,3,85,7,7,7,1,1.94303962012054
bias_0,1,3,86,7,7,7,1,1.97200468325173
bias_0,1,3,87,4,4,4,1,1.96169328210817
bias_0,1,3,88,2,9,2,0,0.202038651957992
bias_0,1,3,89,2,2,2,1,2.00205693917815
bias_0,1,3,90,4,4,4,1,2.08686493866844
bias_0,1,3,91,2,4,2,0,0.297653685804107
bias_0,1,3,92,7,9,7,0,0.167595105274813
bias_0,1,3,93,4,2,2,1,0.277787817714852
bias_0,1,3,94,7,4,2,0,0.235277064479305
bias_0,1,3,95,4,4,4,1,2.01762782063452
bias_0,1,3,96,4,4,4,1,2.00357264399645
bias_0,1,3,97,4,2,4,0,0.206428418736323
bias_0,1,3,98,7,9,9,1,0.247594476895756
bias_0,1,3,99,9,2,2,1,0.323758991580689
bias_0,1,3,100,4,4,4,1,1.98200288708904
bias_0,1,3,101,9,2,9,0,0.159948930406244
bias_0,1,3,102,4,4,4,1,1.98667034204118
bias_0,1,3,103,2,2,2,1,1.99798847493366
bias_0,1,3,104,4,4,4,1,2.00014444475528
bias_0,1,3,105,2,2,2,1,1.94875705955201
bias_0,1,3,106,9,7,7,1,0.332017811946571
bias_0,1,3,107,4,9,9,1,0.30184982882929
bias_0,1,3,108,4,4,4,1,2.04053328596638
bias_0,1,3,109,9,7,9,0,0.164055272951373
bias_0,1,3,110,2,2,2,1,1.98961840654374
bias_0,1,3,111,7,2,7,0,0.174622387639829
bias_0,1,3,112,7,7,7,1,2.02779910068784
