id,day,block,trial,first_image,second_image,first_press,correct,real_prep_time
jcc,1,3,1,2,2,2,1,1.98082619500929
jcc,1,3,2,4,4,4,1,2.03063636783918
jcc,1,3,3,7,7,7,1,1.92990144788928
jcc,1,3,4,9,9,9,1,1.97886579357146
jcc,1,3,5,2,2,2,1,1.96918441086018
jcc,1,3,6,7,7,7,1,2.05214629377588
jcc,1,3,7,2,2,2,1,2.09634134912631
jcc,1,3,8,7,7,7,1,1.93012160241778
jcc,1,3,9,4,7,4,0,0.197805827163393
jcc,1,3,10,4,9,9,1,0.463446518508135
jcc,1,3,11,4,4,4,1,2.03798401579843
jcc,1,3,12,9,4,4,1,0.336982913577231
jcc,1,3,13,9,9,9,1,2.04125038615894
jcc,1,3,14,7,2,7,0,0.137246814818354
jcc,1,3,15,7,7,7,1,1.99320534913568
jcc,1,3,16,9,2,2,1,0.516001185183995
jcc,1,3,17,4,2,4,0,0.183410567900864
jcc,1,3,18,9,9,9,1,2.02990392340871
jcc,1,3,19,9,4,4,1,0.362837333334028
jcc,1,3,20,4,9,9,1,0.465562864192179
jcc,1,3,21,4,7,9,0,0.421877333341399
jcc,1,3,22,7,9,9,1,0.399992493825266
jcc,1,3,23,9,9,9,1,2.08218233678781
jcc,1,3,24,7,7,7,1,2.06339715160721
jcc,1,3,25,9,9,9,1,2.00701710220892
jcc,1,3,26,9,9,9,1,2.0404065343173
jcc,1,3,27,9,9,9,1,2.01842579993536
jcc,1,3,28,4,4,4,1,1.99530786764808
jcc,1,3,29,9,9,9,1,1.88889375055442
jcc,1,3,30,7,7,7,1,1.9995845159865
jcc,1,3,31,4,7,7,1,0.476782222220209
jcc,1,3,32,7,7,7,1,1.91978194171679
jcc,1,3,33,2,2,2,1,1.92852634315204
jcc,1,3,34,4,4,4,1,2.06754925036512
jcc,1,3,35,9,9,9,1,1.99602529974072
jcc,1,3,36,2,2,2,1,1.94042194171925
jcc,1,3,37,7,7,7,1,1.9845654542587
jcc,1,3,38,9,9,9,1,2.02003804685955
jcc,1,3,39,7,7,7,1,1.97872870716674
jcc,1,3,40,2,2,2,1,1.9863435219595
jcc,1,3,41,7,7,7,1,1.99973938018957
jcc,1,3,42,7,7,7,1,2.036296707156
jcc,1,3,43,9,9,9,1,1.93600396641705
jcc,1,3,44,2,7,2,0,0.199559901244356
jcc,1,3,45,2,2,2,1,1.99373433677829
jcc,1,3,46,7,7,7,1,1.97456209624943
jcc,1,3,47,2,2,2,1,1.98730362710194
jcc,1,3,48,2,2,2,1,1.9312983861746
jcc,1,3,49,9,9,9,1,1.85470895408071
jcc,1,3,50,7,7,7,1,1.89749700982065
jcc,1,3,51,4,4,4,1,2.00927142957516
jcc,1,3,52,4,4,4,1,2.02161542320391
jcc,1,3,53,4,4,4,1,2.01619320097961
jcc,1,3,54,9,9,9,1,1.94962608987407
jcc,1,3,55,2,2,2,1,2.04807389233611
jcc,1,3,56,4,4,4,1,1.91818560242245
jcc,1,3,57,2,7,7,1,0.395734913588967
jcc,1,3,58,7,2,2,1,0.381780543204513
jcc,1,3,59,7,7,7,1,1.8312743925344
jcc,1,3,60,9,7,7,1,0.343687111118925
jcc,1,3,61,9,9,9,1,1.98595409624977
jcc,1,3,62,2,2,2,1,2.02299418863549
jcc,1,3,63,2,7,7,1,0.363538172838162
jcc,1,3,64,7,4,7,0,0.207325629628031
jcc,1,3,65,2,2,2,1,2.00443576888938
jcc,1,3,66,2,2,2,1,2.05702717629902
jcc,1,3,67,2,9,9,1,0.349536000008811
jcc,1,3,68,7,4,4,1,0.316628543208935
jcc,1,3,69,4,4,4,1,1.99099508390646
jcc,1,3,70,4,4,4,1,2.01468090468552
jcc,1,3,71,9,9,9,1,2.02283547895786
jcc,1,3,72,7,7,7,1,2.00568376888987
jcc,1,3,73,9,9,9,1,1.95689246024995
jcc,1,3,74,2,9,7,0,0.344417580243316
jcc,1,3,75,2,4,2,0,0.230530765431467
jcc,1,3,76,2,2,2,1,1.99965552196954
