id,day,block,trial,first_image,second_image,first_press,correct,real_prep_time
bias_0,1,2,1,2,2,2,1,0.634856795411906
bias_0,1,2,2,4,4,4,1,0.630120558169438
bias_0,1,2,3,7,7,7,1,0.508936930360505
bias_0,1,2,4,9,9,9,1,0.68089649103058
bias_0,1,2,5,7,9,7,0,0.206587188295089
bias_0,1,2,6,7,4,7,0,0.126105952178477
bias_0,1,2,7,4,4,4,1,0.298331546146073
bias_0,1,2,8,9,9,9,1,0.332274741580477
bias_0,1,2,9,7,2,7,0,0.18823308107676
bias_0,1,2,10,9,9,9,1,0.495022536633769
bias_0,1,2,11,4,4,4,1,0.385108598216902
bias_0,1,2,12,4,4,4,1,0.341838535678107
bias_0,1,2,13,9,9,9,1,0.316530484036775
bias_0,1,2,14,9,9,9,1,0.131835997715825
bias_0,1,2,15,9,9,9,1,0.212458873560536
bias_0,1,2,16,9,9,9,1,0.174791864104918
bias_0,1,2,17,7,9,7,0,0.190176990261534
bias_0,1,2,18,2,2,2,1,0.301307645422639
bias_0,1,2,19,7,9,9,1,0.264769074725336
bias_0,1,2,20,2,2,2,1,0.188565405464033
bias_0,1,2,21,7,7,7,1,0.209450029535219
bias_0,1,2,22,9,9,9,1,0.157461174705531
bias_0,1,2,23,2,9,7,0,0.334227140047005
bias_0,1,2,24,7,7,7,1,0.197500807305914
bias_0,1,2,25,9,9,9,1,0.109623855649261
bias_0,1,2,26,7,7,7,1,0.242131872553728
bias_0,1,2,27,9,4,4,1,0.312374396933592
bias_0,1,2,28,2,2,2,1,0.211412649514386
bias_0,1,2,29,9,4,4,1,0.295491479191696
bias_0,1,2,30,7,7,7,1,0.342756932557677
bias_0,1,2,31,2,2,2,1,0.211602783572744
bias_0,1,2,32,2,4,2,0,0.207197090014233
bias_0,1,2,33,4,4,4,1,0.273892657045508
bias_0,1,2,34,7,2,7,0,0.163168241124367
bias_0,1,2,35,2,2,2,1,0.219610779487994
bias_0,1,2,36,2,2,2,1,0.33756309527962
bias_0,1,2,37,4,2,2,1,0.291252925191657
bias_0,1,2,38,9,9,9,1,0.21770255966112
bias_0,1,2,39,4,4,4,1,0.46687202398607
bias_0,1,2,40,9,9,9,1,0.248204763498507
bias_0,1,2,41,4,4,4,1,0.312502459753887
bias_0,1,2,42,2,9,9,1,0.301331696042325
bias_0,1,2,43,7,7,7,1,0.397494473130791
bias_0,1,2,44,2,2,2,1,0.360654022282688
bias_0,1,2,45,4,9,9,1,0.315841596398968
bias_0,1,2,46,2,7,2,0,0.066401137781213
bias_0,1,2,47,9,9,9,1,0.378261549005401
bias_0,1,2,48,9,7,7,1,0.294738992888597
bias_0,1,2,49,7,7,7,1,0.281103641100344
bias_0,1,2,50,2,7,7,1,0.355698986284551
bias_0,1,2,51,9,7,9,0,0.17229453244363
bias_0,1,2,52,2,2,2,1,0.19795461143076
bias_0,1,2,53,4,4,4,1,0.203459180425853
bias_0,1,2,54,7,7,7,1,0.199963284336263
bias_0,1,2,55,9,9,9,1,0.311996869757422
bias_0,1,2,56,2,2,2,1,0.409950135464896
bias_0,1,2,57,7,7,7,1,0.200947689299937
bias_0,1,2,58,4,4,4,1,0.423075628932565
bias_0,1,2,59,7,7,7,1,0.339563766727224
bias_0,1,2,60,4,4,4,1,0.260716779579525
bias_0,1,2,61,4,4,4,1,0.145835914241616
bias_0,1,2,62,2,4,4,1,0.341718237556051
bias_0,1,2,63,4,4,4,1,0.44321598726674
bias_0,1,2,64,7,7,7,1,0.236324353070813
bias_0,1,2,65,7,7,7,1,0.205025499672047
bias_0,1,2,66,2,2,2,1,0.134255902768928
bias_0,1,2,67,4,4,4,1,0.170464700611774
bias_0,1,2,68,4,4,4,1,0.216632254203432
bias_0,1,2,69,9,9,9,1,0.158549356216099
bias_0,1,2,70,2,2,2,1,0.211315125663532
bias_0,1,2,71,7,4,2,0,0.290812476596329
bias_0,1,2,72,7,7,7,1,0.493101811385714
bias_0,1,2,73,7,7,7,1,0.249805637839017
bias_0,1,2,74,4,7,9,0,0.27547236380633
bias_0,1,2,75,2,2,2,1,0.420382950047497
bias_0,1,2,76,4,4,4,1,0.251829132059356
bias_0,1,2,77,9,2,9,0,0.195284691420966
bias_0,1,2,78,4,4,4,1,0.217893449138501
bias_0,1,2,79,4,4,4,1,0.327073422595277
bias_0,1,2,80,9,9,9,1,0.191461873531807
bias_0,1,2,81,7,7,7,1,0.372828658277285
bias_0,1,2,82,2,2,2,1,0.259843805732089
bias_0,1,2,83,2,4,2,0,0.150213178727427
bias_0,1,2,84,7,4,4,1,0.646256548556266
bias_0,1,2,85,2,7,2,0,0.157201568130404
bias_0,1,2,86,9,4,4,1,0.549874075251864
bias_0,1,2,87,9,9,9,1,0.284540096763521
bias_0,1,2,88,4,7,7,1,0.39625891893229
bias_0,1,2,89,9,2,2,1,0.357273400572012
bias_0,1,2,90,7,2,2,1,0.316884212807054
bias_0,1,2,91,7,7,7,1,0.258225433033658
bias_0,1,2,92,9,9,9,1,0.262172140122857
